transaction_id,politician,ticker,transaction_type,owner,asset_type,amount_mid,log_amount_mid,disclosure_delay_days,ou_zscore,filing_date,excess_return_30d,beat_market_30d
7903,John Hoeven,F,Purchase,Self,,75000.5,11.22526339231845,10,-0.18345471710136568,2014-05-08,0.010384792325015768,1
7899,Cory A Booker,NFLX,Sale (Full),Self,,32500.5,10.389041521098926,31,-0.1937844763526089,2014-05-09,0.2956203117694072,1
7877,Sheldon Whitehouse,PEP,Sale (Full),Joint,,8000.5,8.987384303086046,16,-0.18340135174928818,2014-05-15,-0.009707885573928543,0
7879,Sheldon Whitehouse,CVS,Purchase,Child,,8000.5,8.987384303086046,16,0.581580925386404,2014-05-15,-0.04281313175198265,0
7881,Sheldon Whitehouse,CVS,Sale (Partial),Child,,8000.5,8.987384303086046,28,0.581580925386404,2014-05-15,-0.04281313175198265,0
7884,Sheldon Whitehouse,DIS,Sale (Partial),Child,,32500.5,10.389041521098926,28,0.00035573813559170396,2014-05-15,0.019323837799009258,1
7886,Sheldon Whitehouse,JPM,Purchase,Child,,8000.5,8.987384303086046,16,-0.9332380342775173,2014-05-15,0.03019545277177671,1
7813,Susan M Collins,WFC,Purchase,Spouse,,32500.5,10.389041521098926,9,-0.31388564691184523,2014-05-16,0.030117619176112553,1
7818,Susan M Collins,VFC,Purchase,Spouse,,8000.5,8.987384303086046,9,0.7309454007246551,2014-05-16,-0.03712285531923709,0
7825,Susan M Collins,TGT,Sale (Full),Spouse,,8000.5,8.987384303086046,9,-0.9171831878079902,2014-05-16,-0.052553703173834676,0
7828,Susan M Collins,SBUX,Purchase,Spouse,,8000.5,8.987384303086046,9,0.22027791792591608,2014-05-16,0.04999385105603893,1
7832,Susan M Collins,QCOM,Purchase,Spouse,,32500.5,10.389041521098926,9,0.013910745065219264,2014-05-16,-0.043557112865075465,0
7833,Susan M Collins,PEP,Purchase,Spouse,,32500.5,10.389041521098926,9,0.26551506102552036,2014-05-16,-0.008432087211074357,0
7836,Susan M Collins,ORCL,Sale (Full),Spouse,,8000.5,8.987384303086046,9,0.7028312750432444,2014-05-16,-0.06861142991072267,0
7842,Susan M Collins,M,Sale (Full),Spouse,,8000.5,8.987384303086046,9,0.480113630095257,2014-05-16,-0.04164803098637737,0
7852,Susan M Collins,GM,Sale (Full),Spouse,,8000.5,8.987384303086046,9,-0.3888589490422942,2014-05-16,0.026860022055640087,1
7858,Susan M Collins,DIS,Purchase,Spouse,,8000.5,8.987384303086046,9,0.09018657947343435,2014-05-16,0.025763533186624166,1
7869,Susan M Collins,BAC,Sale (Full),Spouse,,8000.5,8.987384303086046,9,-1.3512214536862117,2014-05-16,0.018482430406967953,1
7874,Susan M Collins,AMZN,Sale (Full),Spouse,,8000.5,8.987384303086046,9,-0.5214828470548113,2014-05-16,0.05017704819973701,1
7808,Thomas R Carper,OKE,Sale (Full),Spouse,,8000.5,8.987384303086046,4,0.6772657250355892,2014-06-03,0.00983688146842221,1
7799,Sheldon Whitehouse,ORCL,Purchase,Child,,8000.5,8.987384303086046,14,-0.021286529030753315,2014-06-12,-0.061359505474417264,0
7792,Patrick J Toomey,PFS,Exchange,Self,,375000.5,12.834685304944548,6,0.506031393471003,2014-06-18,-0.0349553759300546,0
7761,Susan M Collins,WMT,Sale (Full),Spouse,,8000.5,8.987384303086046,8,-0.5674760498085129,2014-06-27,-0.0026920499562699263,0
7762,Susan M Collins,UPS,Sale (Full),Spouse,,8000.5,8.987384303086046,8,0.11493581578980211,2014-06-27,-0.0543324154115451,0
7768,Susan M Collins,PG,Sale (Full),Spouse,,8000.5,8.987384303086046,8,-0.8262987521673427,2014-06-27,0.04144706282420496,1
